url,title,image_url
https://en.wikipedia.org/wiki/Dingo_(soundtrack),Dingo (soundtrack),https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Miles_Davis_with_Michel_LeGrand_Dingo.jpg/220px-Miles_Davis_with_Michel_LeGrand_Dingo.jpg
https://en.wikipedia.org/wiki/Music_from_Siesta,Music from Siesta,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Music_from_Siesta.jpg/220px-Music_from_Siesta.jpg
https://en.wikipedia.org/wiki/The_Legendary_Prestige_Quintet_Sessions,The Legendary Prestige Quintet Sessions,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Legendary_Prestige_Quintet_Sessions.jpg
https://en.wikipedia.org/wiki/Tutu_(album),Tutu (album),https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Miles_Davis-Tutu_%28album_cover%29.jpg/220px-Miles_Davis-Tutu_%28album_cover%29.jpg
https://en.wikipedia.org/wiki/Miles_Davis_Volume_1,Miles Davis Vols. 1 & 2,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Miles_Davis_Volume_1_12%22.jpg/220px-Miles_Davis_Volume_1_12%22.jpg
https://en.wikipedia.org/wiki/The_Compositions_of_Al_Cohn,The Compositions of Al Cohn,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/MilesPlaysAlCohn.jpg/220px-MilesPlaysAlCohn.jpg
https://en.wikipedia.org/wiki/Miles_Davis_All_Star_Sextet,Miles Davis All Star Sextet,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/MilesSextet.jpg/220px-MilesSextet.jpg
https://en.wikipedia.org/wiki/Panthalassa:_The_Remixes,Panthalassa: The Remixes,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Panthalassa_The_Remixes.jpg/220px-Panthalassa_The_Remixes.jpg
https://en.wikipedia.org/wiki/The_Complete_Miles_Davis_at_Montreux,The Complete Miles Davis at Montreux,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/The_Complete_Miles_Davis_at_Montreux.jpg/220px-The_Complete_Miles_Davis_at_Montreux.jpg
https://en.wikipedia.org/wiki/The_New_Sounds,The New Sounds,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/MilesNewSounds.jpg/220px-MilesNewSounds.jpg
"https://en.wikipedia.org/wiki/Miles_Davis_%26_John_Coltrane_The_Final_Tour:_The_Bootleg_Series,_Vol._6","The Final Tour: The Bootleg Series, Vol. 6",https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Daviscoltranefinaltour.jpg/220px-Daviscoltranefinaltour.jpg
https://en.wikipedia.org/wiki/Amandla_(album),Amandla (album),https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Amandla_%28album%29.jpg/220px-Amandla_%28album%29.jpg
https://en.wikipedia.org/wiki/The_Essential_Miles_Davis,The Essential Miles Davis,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/The_Essential_Miles_Davis.jpg/220px-The_Essential_Miles_Davis.jpg
"https://en.wikipedia.org/wiki/That%E2%80%99s_What_Happened_1982-1985:_The_Bootleg_Series,_Vol._7","The Bootleg Series, Vol. 7: That's What Happened 1982–1985",https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/That%27s_What_Happened_1982-1985_The_Bootleg_Series%2C_Vol._7.jpg/220px-That%27s_What_Happened_1982-1985_The_Bootleg_Series%2C_Vol._7.jpg
https://en.wikipedia.org/wiki/Panthalassa:_The_Music_of_Miles_Davis_1969%E2%80%931974,Panthalassa: The Music of Miles Davis 1969–1974,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Panthalassa_The_Music_of_Miles_Davis_1969-1974.jpg/220px-Panthalassa_The_Music_of_Miles_Davis_1969-1974.jpg
https://en.wikipedia.org/wiki/Young_Man_with_a_Horn_(Miles_Davis_album),Young Man with a Horn (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Miles_Davis_Young_Man_With_a_Horn.jpg/220px-Miles_Davis_Young_Man_With_a_Horn.jpg
https://en.wikipedia.org/wiki/Miles_Davis_in_Europe,Miles Davis in Europe,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/MilesDavisInEurope.jpg/220px-MilesDavisInEurope.jpg
https://en.wikipedia.org/wiki/1969_Miles:_Festiva_de_Juan_Pins,1969 Miles: Festiva de Juan Pins,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Miles_Festiva_De_Juan_Pins_1969.jpg/220px-Miles_Festiva_De_Juan_Pins_1969.jpg
https://en.wikipedia.org/wiki/Miles_from_India,Miles from India,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Miles_From_India_Album_Cover.png/220px-Miles_From_India_Album_Cover.png
https://en.wikipedia.org/wiki/Miles_Davis_at_Newport_1955%E2%80%931975:_The_Bootleg_Series_Vol._4,Miles Davis at Newport 1955–1975: The Bootleg Series Vol. 4,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Miles_Davis_at_Newport_1955-1975.jpg/220px-Miles_Davis_at_Newport_1955-1975.jpg
https://en.wikipedia.org/wiki/Rubberband_(Miles_Davis_album),Rubberband (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Miles_Davis_-_Rubberband.jpg/220px-Miles_Davis_-_Rubberband.jpg
https://en.wikipedia.org/wiki/Miles!_Miles!_Miles!,Miles! Miles! Miles!,https://upload.wikimedia.org/wikipedia/en/f/f3/Miles%21_Miles%21_Miles%21.jpg
https://en.wikipedia.org/wiki/That%27s_What_Happened:_Live_in_Germany_1987,That's What Happened: Live in Germany 1987,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/That%27s_What_Happened_Live_in_Germany_1987.jpg/220px-That%27s_What_Happened_Live_in_Germany_1987.jpg
https://en.wikipedia.org/wiki/In_Concert_(Miles_Davis_album),In Concert (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/1/16/In_Concert_-_Miles_Davis.jpg/220px-In_Concert_-_Miles_Davis.jpg
https://en.wikipedia.org/wiki/New_Thing_at_Newport,New Thing at Newport,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/New_Thing_At_Newport.jpg/220px-New_Thing_At_Newport.jpg
https://en.wikipedia.org/wiki/Cosmic_Music,Cosmic Music,https://upload.wikimedia.org/wikipedia/en/c/ce/JohnColtraneCosmicMusicLPCover.JPG
https://en.wikipedia.org/wiki/A_Love_Supreme,A Love Supreme,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/John_Coltrane_-_A_Love_Supreme.jpg/220px-John_Coltrane_-_A_Love_Supreme.jpg
https://en.wikipedia.org/wiki/Ol%C3%A9_Coltrane,Olé Coltrane,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/John_Coltrane_-_Ol%C3%A9_Coltrane.png/220px-John_Coltrane_-_Ol%C3%A9_Coltrane.png
https://en.wikipedia.org/wiki/Thelonious_Monk_with_John_Coltrane,Thelonious Monk with John Coltrane,https://upload.wikimedia.org/wikipedia/en/6/62/TheloniousMonkWithJohnColtraneCover.jpg
