url,title
https://en.wikipedia.org/wiki/Ol%C3%A9_Coltrane,Olé Coltrane
https://en.wikipedia.org/wiki/Thelonious_Monk_with_John_Coltrane,Thelonious Monk with John Coltrane
https://en.wikipedia.org/wiki/Tenor_Conclave,Tenor Conclave
https://en.wikipedia.org/wiki/Monk%27s_Music,Monk's Music
https://en.wikipedia.org/wiki/Thelonious_Monk_Quartet_with_John_Coltrane_at_Carnegie_Hall,Thelonious Monk Quartet with John Coltrane at Carnegie Hall
https://en.wikipedia.org/wiki/Interplay_for_2_Trumpets_and_2_Tenors,Interplay for 2 Trumpets and 2 Tenors
https://en.wikipedia.org/wiki/The_Complete_1957_Riverside_Recordings,The Complete 1957 Riverside Recordings
https://en.wikipedia.org/wiki/Thelonious_Himself,Thelonious Himself
https://en.wikipedia.org/wiki/The_Cats_(album),The Cats (album)
https://en.wikipedia.org/wiki/Dakar_(album),Dakar (album)
https://en.wikipedia.org/wiki/Cattin%27_with_Coltrane_and_Quinichette,Cattin' with Coltrane and Quinichette
https://en.wikipedia.org/wiki/Selflessness:_Featuring_My_Favorite_Things,Selflessness: Featuring My Favorite Things
https://en.wikipedia.org/wiki/Meditations_(John_Coltrane_album),Meditations (John Coltrane album)
https://en.wikipedia.org/wiki/John_Coltrane_and_Johnny_Hartman,John Coltrane and Johnny Hartman
https://en.wikipedia.org/wiki/Duke_Ellington_%26_John_Coltrane,Duke Ellington & John Coltrane
https://en.wikipedia.org/wiki/Impressions_(John_Coltrane_album),Impressions (John Coltrane album)
https://en.wikipedia.org/wiki/Kulu_S%C3%A9_Mama,Kulu Sé Mama
https://en.wikipedia.org/wiki/The_Believer_(John_Coltrane_album),The Believer (John Coltrane album)
https://en.wikipedia.org/wiki/The_Major_Works_of_John_Coltrane,The Major Works of John Coltrane
https://en.wikipedia.org/wiki/Live_at_the_Village_Vanguard_Again!,Live at the Village Vanguard Again!
https://en.wikipedia.org/wiki/Coltrane_(1957_album),Coltrane (1957 album)
"https://en.wikipedia.org/wiki/The_Mastery_of_John_Coltrane,_Vol._2:_To_the_Beat_of_a_Different_Drum","The Mastery of John Coltrane, Vol. 2: To the Beat of a Different Drum"
https://en.wikipedia.org/wiki/Om_(John_Coltrane_album),Om (John Coltrane album)
https://en.wikipedia.org/wiki/Black_Pearls,Black Pearls
https://en.wikipedia.org/wiki/Live_in_Seattle_(John_Coltrane_album),Live in Seattle (John Coltrane album)
https://en.wikipedia.org/wiki/The_Last_Trane,The Last Trane
https://en.wikipedia.org/wiki/The_John_Coltrane_Quartet_Plays,The John Coltrane Quartet Plays
https://en.wikipedia.org/wiki/Sun_Ship,Sun Ship
https://en.wikipedia.org/wiki/Live_in_Japan_(John_Coltrane_album),Live in Japan (John Coltrane album)
https://en.wikipedia.org/wiki/Kenny_Burrell_%26_John_Coltrane,Kenny Burrell & John Coltrane
https://en.wikipedia.org/wiki/Lush_Life_(John_Coltrane_album),Lush Life (John Coltrane album)
https://en.wikipedia.org/wiki/Transition_(John_Coltrane_album),Transition (John Coltrane album)
https://en.wikipedia.org/wiki/Expression_(album),Expression (album)
https://en.wikipedia.org/wiki/Coltrane_%22Live%22_at_the_Village_Vanguard,"Coltrane ""Live"" at the Village Vanguard"
https://en.wikipedia.org/wiki/Evenings_at_the_Village_Gate:_John_Coltrane_with_Eric_Dolphy,Evenings at the Village Gate: John Coltrane with Eric Dolphy
https://en.wikipedia.org/wiki/Bahia_(album),Bahia (album)
https://en.wikipedia.org/wiki/Newport_%2763,Newport '63
https://en.wikipedia.org/wiki/John_Coltrane_with_the_Red_Garland_Trio,John Coltrane with the Red Garland Trio
https://en.wikipedia.org/wiki/My_Favorite_Things_(John_Coltrane_album),My Favorite Things (John Coltrane album)
https://en.wikipedia.org/wiki/Stardust_(John_Coltrane_album),Stardust (John Coltrane album)
https://en.wikipedia.org/wiki/Interstellar_Space,Interstellar Space
https://en.wikipedia.org/wiki/The_Olatunji_Concert:_The_Last_Live_Recording,The Olatunji Concert: The Last Live Recording
https://en.wikipedia.org/wiki/Mating_Call,Mating Call
https://en.wikipedia.org/wiki/Ballads_(John_Coltrane_album),Ballads (John Coltrane album)
"https://en.wikipedia.org/wiki/The_Africa/Brass_Sessions,_Volume_2","The Africa/Brass Sessions, Volume 2"
https://en.wikipedia.org/wiki/Living_Space_(album),Living Space (album)
https://en.wikipedia.org/wiki/Crescent_(John_Coltrane_album),Crescent (John Coltrane album)
https://en.wikipedia.org/wiki/A_Love_Supreme:_Live_in_Seattle,A Love Supreme: Live in Seattle
https://en.wikipedia.org/wiki/The_Avant-Garde_(album),The Avant-Garde (album)
https://en.wikipedia.org/wiki/Soultrane,Soultrane
"https://en.wikipedia.org/wiki/The_Mastery_of_John_Coltrane,_Vol._3:_Jupiter_Variation","The Mastery of John Coltrane, Vol. 3: Jupiter Variation"
https://en.wikipedia.org/wiki/Standard_Coltrane,Standard Coltrane
https://en.wikipedia.org/wiki/The_Complete_1961_Village_Vanguard_Recordings,The Complete 1961 Village Vanguard Recordings
https://en.wikipedia.org/wiki/Offering:_Live_at_Temple_University,Offering: Live at Temple University
https://en.wikipedia.org/wiki/Live_Trane:_The_European_Tours,Live Trane: The European Tours
https://en.wikipedia.org/wiki/High_Step,High Step
https://en.wikipedia.org/wiki/Infinity_(John_Coltrane_album),Infinity (John Coltrane album)
https://en.wikipedia.org/wiki/Dial_Africa:_The_Savoy_Sessions,Dial Africa: The Savoy Sessions
https://en.wikipedia.org/wiki/Coltrane_Time,Stereo Drive
https://en.wikipedia.org/wiki/The_Paris_Concert_(John_Coltrane_album),The Paris Concert (John Coltrane album)
https://en.wikipedia.org/wiki/Ken_Burns_Jazz:_John_Coltrane,Ken Burns Jazz: John Coltrane
https://en.wikipedia.org/wiki/The_Heavyweight_Champion:_The_Complete_Atlantic_Recordings,The Heavyweight Champion: The Complete Atlantic Recordings
https://en.wikipedia.org/wiki/Stellar_Regions,Stellar Regions
https://en.wikipedia.org/wiki/The_Classic_Quartet_%E2%80%93_Complete_Impulse!_Studio_Recordings,The Classic Quartet – Complete Impulse! Studio Recordings
https://en.wikipedia.org/wiki/Coltrane_(1962_album),Coltrane (1962 album)
https://en.wikipedia.org/wiki/Gold_Coast_(album),Gold Coast (album)
https://en.wikipedia.org/wiki/Coltrane_Plays_the_Blues,Coltrane Plays the Blues
https://en.wikipedia.org/wiki/The_European_Tour,The European Tour
https://en.wikipedia.org/wiki/First_Meditations_(for_quartet),First Meditations (for quartet)
https://en.wikipedia.org/wiki/Countdown:_The_Savoy_Sessions,Countdown: The Savoy Sessions
https://en.wikipedia.org/wiki/The_Best_of_John_Coltrane,The Best of John Coltrane
https://en.wikipedia.org/wiki/Alternate_Takes,Alternate Takes
https://en.wikipedia.org/wiki/Both_Directions_at_Once:_The_Lost_Album,Both Directions at Once: The Lost Album
https://en.wikipedia.org/wiki/Coltrane_Jazz,Coltrane Jazz
https://en.wikipedia.org/wiki/Blue_World_(album),Blue World (album)
"https://en.wikipedia.org/wiki/Live_at_the_Half_Note:_One_Down,_One_Up","Live at the Half Note: One Down, One Up"
https://en.wikipedia.org/wiki/Afro_Blue_Impressions,Afro Blue Impressions
https://en.wikipedia.org/wiki/The_Coltrane_Legacy,The Coltrane Legacy
https://en.wikipedia.org/wiki/Bye_Bye_Blackbird_(John_Coltrane_album),Bye Bye Blackbird (John Coltrane album)
https://en.wikipedia.org/wiki/Coltrane_for_Lovers,Coltrane for Lovers
https://en.wikipedia.org/wiki/Coltrane%27s_Sound,Coltrane's Sound
https://en.wikipedia.org/wiki/Live_at_Birdland_(John_Coltrane_album),Live at Birdland (John Coltrane album)
https://en.wikipedia.org/wiki/Dear_Old_Stockholm_(album),Dear Old Stockholm (album)
https://en.wikipedia.org/wiki/Two_Tenors,Two Tenors
https://en.wikipedia.org/wiki/Lee_Morgan_Sextet,"Lee Morgan, Volume 2"
https://en.wikipedia.org/wiki/Golden_Boy_(Art_Blakey_album),Golden Boy (Art Blakey album)
https://en.wikipedia.org/wiki/No_Room_for_Squares,No Room for Squares
https://en.wikipedia.org/wiki/Tender_Moments,Tender Moments
https://en.wikipedia.org/wiki/Lee_Morgan_Indeed!,Lee Morgan Indeed!
https://en.wikipedia.org/wiki/At_the_Jazz_Corner_of_the_World,At the Jazz Corner of the World
https://en.wikipedia.org/wiki/Sliding_Easy,Sliding Easy
https://en.wikipedia.org/wiki/Grass_Roots_(Andrew_Hill_album),Grass Roots (Andrew Hill album)
https://en.wikipedia.org/wiki/Lift_Every_Voice_(Andrew_Hill_album),Lift Every Voice (Andrew Hill album)
https://en.wikipedia.org/wiki/A_Night_in_Tunisia_(1958_album),A Night in Tunisia (1958 album)
https://en.wikipedia.org/wiki/Cornbread_(album),Cornbread (album)
https://en.wikipedia.org/wiki/Moanin%27,Moanin'
https://en.wikipedia.org/wiki/Indestructible_(Art_Blakey_album),Indestructible (Art Blakey album)
https://en.wikipedia.org/wiki/%27S_Make_It,'S Make It
https://en.wikipedia.org/wiki/The_Sixth_Sense_(Lee_Morgan_album),The Sixth Sense (Lee Morgan album)
https://en.wikipedia.org/wiki/Pisces_(album),Pisces (album)
https://en.wikipedia.org/wiki/Originally,Originally
https://en.wikipedia.org/wiki/Charisma_(album),Charisma (album)
https://en.wikipedia.org/wiki/1958_%E2%80%93_Paris_Olympia,1958 – Paris Olympia
https://en.wikipedia.org/wiki/Des_Femmes_Disparaissent_(soundtrack),Des Femmes Disparaissent (soundtrack)
https://en.wikipedia.org/wiki/Peckin%27_Time,Peckin' Time
https://en.wikipedia.org/wiki/Jazz_Message_No._2,Jazz Message No. 2
"https://en.wikipedia.org/wiki/Hold_On,_I%27m_Coming_(Art_Blakey_album)","Hold On, I'm Coming (Art Blakey album)"
https://en.wikipedia.org/wiki/Paris_Jam_Session,Paris Jam Session
https://en.wikipedia.org/wiki/Africaine,Africaine
https://en.wikipedia.org/wiki/Drums_Around_the_Corner,Drums Around the Corner
https://en.wikipedia.org/wiki/Art_Blakey_and_the_Jazz_Messengers_(1961_album),Art Blakey and the Jazz Messengers (1961 album)
https://en.wikipedia.org/wiki/The_Witch_Doctor_(album),The Witch Doctor (album)
https://en.wikipedia.org/wiki/A_Night_in_Tunisia_(1961_album),A Night in Tunisia (1961 album)
https://en.wikipedia.org/wiki/The_Big_Beat_(Art_Blakey_album),The Big Beat (Art Blakey album)
https://en.wikipedia.org/wiki/Les_Liaisons_dangereuses_(film),Les Liaisons dangereuses (film)
https://en.wikipedia.org/wiki/Meet_You_at_the_Jazz_Corner_of_the_World,Meet You at the Jazz Corner of the World
https://en.wikipedia.org/wiki/Dizzy_in_Greece,Dizzy in Greece
https://en.wikipedia.org/wiki/Infinity_(Lee_Morgan_album),Infinity (Lee Morgan album)
https://en.wikipedia.org/wiki/Dizzy_Gillespie_at_Newport,Dizzy Gillespie at Newport
https://en.wikipedia.org/wiki/Birks%27_Works,Birks' Works
https://en.wikipedia.org/wiki/Tom_Cat_(album),Tom Cat (album)
https://en.wikipedia.org/wiki/A_Slice_of_the_Top,A Slice of the Top
https://en.wikipedia.org/wiki/The_Sermon_(Jimmy_Smith_album),The Sermon (Jimmy Smith album)
https://en.wikipedia.org/wiki/Evolution_(Grachan_Moncur_III_album),Evolution (Grachan Moncur III album)
https://en.wikipedia.org/wiki/Dizzy_Atmosphere_(album),Dizzy Atmosphere (album)
https://en.wikipedia.org/wiki/Intensity_(Charles_Earland_album),Intensity (Charles Earland album)
https://en.wikipedia.org/wiki/The_Great_Wide_World_of_Quincy_Jones,The Great Wide World of Quincy Jones
https://en.wikipedia.org/wiki/Brass_Shout,Brass Shout
https://en.wikipedia.org/wiki/Consequence_(album),Consequence (album)
https://en.wikipedia.org/wiki/Lee-Way,Lee-Way
https://en.wikipedia.org/wiki/Third_Season_(album),Third Season (album)
https://en.wikipedia.org/wiki/Taru_(album),Taru (album)
https://en.wikipedia.org/wiki/Monday_Night_at_Birdland,Monday Night at Birdland
https://en.wikipedia.org/wiki/The_Rajah_(album),The Rajah (album)
https://en.wikipedia.org/wiki/Introducing_Lee_Morgan,Introducing Lee Morgan
https://en.wikipedia.org/wiki/Dippin%27,Dippin'
https://en.wikipedia.org/wiki/Easterly_Winds,Easterly Winds
https://en.wikipedia.org/wiki/Another_Monday_Night_at_Birdland,Another Monday Night at Birdland
https://en.wikipedia.org/wiki/Jacknife_(album),Jacknife (album)
